,odpts
1,POINT (-85.64024090561605 40.38266094111476)
2,POINT (-85.7011656783606 40.628671989009945)
3,POINT (-85.58871870419053 40.549936754049035)
4,POINT (-85.51931222642564 40.46915968589831)
0,POINT (-85.64858510005946 40.55745463884268)
1,POINT (-85.81188497733449 40.626628470922824)
2,POINT (-85.53009047992656 40.48452895188207)
3,POINT (-85.60178447849162 40.384237638091)
0,POINT (-85.46780358248303 40.42321028516408)
1,POINT (-85.49650461200864 40.380170913942635)
2,POINT (-85.69352020942743 40.63804176668247)
0,POINT (-85.73277438566154 40.64868128828654)
1,POINT (-85.59327324853336 40.64932029454048)
2,POINT (-85.74940865829822 40.43751224342997)
3,POINT (-85.76174133089464 40.504134797842724)
0,POINT (-85.46592218554103 40.46355563146268)
1,POINT (-85.48487380772978 40.4023378032516)
0,POINT (-85.53545182840382 40.63412983986052)
1,POINT (-85.72816819183446 40.52727721556338)
0,POINT (-85.68701029631707 40.41929145134087)
0,POINT (-85.6264025716239 40.41191058740576)
0,POINT (-85.73505667835242 40.43685677090533)
0,POINT (-85.71788517070729 40.39789366403134)
0,POINT (-85.4568931285888 40.64881365040923)
1,POINT (-85.66044167284736 40.50764985784241)
2,POINT (-85.83277521963967 40.62389705645241)
0,POINT (-85.58658224365531 40.60317541379551)
1,POINT (-85.74296376945942 40.57033177061101)
2,POINT (-85.60840080201162 40.5988753369699)
3,POINT (-85.45944170515116 40.613364062175584)
0,POINT (-85.56272166403373 40.39016964916204)
1,POINT (-85.57902457143143 40.610549883165945)
0,POINT (-85.65503524939405 40.43833264828022)
1,POINT (-85.7773784200316 40.63741098670739)
2,POINT (-85.84748745960238 40.449100422428565)
3,POINT (-85.48831278137543 40.58427141611512)
0,POINT (-85.7811314219798 40.60819100144963)
0,POINT (-85.57103311434635 40.419980900698974)
1,POINT (-85.5869639242724 40.65186193906314)
2,POINT (-85.55552734127774 40.57066112600289)
3,POINT (-85.50293681410453 40.41214990354498)
4,POINT (-85.79622343152253 40.46473249636055)
0,POINT (-85.49524697422838 40.55658337494948)
1,POINT (-85.51864201882444 40.500778032346474)
0,POINT (-85.594821596485 40.45945270807441)
0,POINT (-85.64371376128514 40.47091872331859)
1,POINT (-85.64045327347434 40.4353185381375)
0,POINT (-85.83459018245732 40.388492792481664)
1,POINT (-85.54066717917574 40.58433969565629)
2,POINT (-85.69470002028108 40.412752025515175)
0,POINT (-85.8212481900254 40.48329885192102)
1,POINT (-85.85289866547016 40.576188641335)
2,POINT (-85.74654684973744 40.597086819372706)
0,POINT (-86.01875139473033 40.07369237372969)
1,POINT (-86.09649390082653 40.212245664678306)
2,POINT (-86.06827783893485 40.16241804352763)
0,POINT (-85.91892709741498 40.03255449248545)
0,POINT (-85.9709209262031 40.06472323643907)
0,POINT (-86.19796326786523 40.16066796947557)
1,POINT (-85.90766448201244 40.0523320044898)
0,POINT (-85.97886974797315 39.97439519879938)
1,POINT (-86.2211342101093 39.98615869371597)
2,POINT (-86.04761299437483 40.04154365862507)
0,POINT (-85.88478559332528 40.16381726067971)
0,POINT (-85.94618644022238 40.13465332414839)
1,POINT (-85.98165631401052 40.098651961698664)
0,POINT (-86.12793116647258 40.0858421395202)
1,POINT (-85.92910426875619 39.988273854205204)
0,POINT (-85.9819851810225 40.2137274745877)
1,POINT (-86.15011384249841 40.20674883292507)
2,POINT (-85.87225168843104 40.21080632633035)
0,POINT (-85.94486513912916 40.14551388782883)
0,POINT (-86.22086023568686 40.0273744919639)
0,POINT (-86.09480166390948 40.12809229959207)
1,POINT (-86.10809386227483 40.012488425454116)
2,POINT (-86.19208092406282 39.995553091789056)
0,POINT (-85.99833673819988 40.12118602057165)
0,POINT (-86.09829581581442 40.14653690502748)
1,POINT (-86.22076781996535 39.93958355503771)
0,POINT (-86.15754167096351 39.93826617570941)
0,POINT (-86.09609550963036 40.163189411746714)
1,POINT (-86.0008939187678 40.179469245666226)
0,POINT (-86.10223756398848 39.960956893042116)
1,POINT (-86.00434597407407 40.10816155118058)
0,POINT (-86.20599363898299 40.101111378228296)
0,POINT (-86.08815953611264 40.11907505939011)
1,POINT (-86.0258324597791 39.94099803179742)
2,POINT (-85.91362789995752 40.10347392389058)
0,POINT (-86.1275787446246 40.11280373125068)
0,POINT (-86.17300683378595 40.032118923275505)
0,POINT (-85.93171600571267 40.16436212007879)
1,POINT (-85.96367837705968 40.109596925439256)
2,POINT (-85.98931321832211 39.989075247122514)
0,POINT (-85.96857661106452 40.05674491907936)
0,POINT (-86.12643218013443 40.03027139734387)
1,POINT (-85.96039617629962 40.14331221452798)
2,POINT (-86.03493589474536 39.9662451024018)
0,POINT (-85.91971742481968 39.97216951716808)
0,POINT (-85.92403249317306 40.19476062434324)
1,POINT (-86.11873476158486 39.94264758945974)
0,POINT (-85.86908522926828 40.217228006324476)
0,POINT (-85.92367965159426 40.16703422920463)
1,POINT (-85.96747464159078 39.97127616768367)
2,POINT (-85.93756807993283 40.12513207283562)
0,POINT (-85.91647845791293 40.02560411547345)
1,POINT (-86.21489252542405 39.99384177246333)
2,POINT (-86.22512434495717 39.934686689947156)
0,POINT (-86.17193339509672 40.08004548291205)
1,POINT (-85.99719738189859 40.044070977940606)
0,POINT (-86.01108228242501 39.92790473818869)
1,POINT (-86.23650903634666 40.20755772269159)
2,POINT (-86.10271938458241 40.07183389558727)
0,POINT (-86.03826442229519 40.10436104982342)
0,POINT (-86.15849958797583 40.098929584011344)
1,POINT (-85.88424945777366 39.99436665009577)
2,POINT (-85.87461238371496 39.971433751773525)
0,POINT (-86.07860859819156 40.11741720568414)
0,POINT (-86.1666769006229 39.967337640369436)
0,POINT (-85.9501785722384 40.13298414022299)
1,POINT (-86.02042327884143 40.20804447927732)
0,POINT (-85.87342255640505 40.063899594658814)
1,POINT (-86.13202655250392 40.161838328433184)
0,POINT (-86.22525823283169 40.05533559119367)
0,POINT (-85.93557479869013 39.9916402437146)
1,POINT (-86.23983944439998 40.196604828204464)
0,POINT (-85.91654192315985 39.94571823961639)
0,POINT (-85.9956674054598 39.966607749261584)
0,POINT (-86.0068483938452 40.016653232277434)
1,POINT (-86.03003751616212 40.02428471438729)
0,POINT (-85.74790827542182 39.79566932815825)
0,POINT (-85.78642615916986 39.80078169481223)
1,POINT (-85.86142151416638 39.92316310407143)
2,POINT (-85.6844597870779 39.7534266719964)
3,POINT (-85.75256901913676 39.77882535141643)
0,POINT (-85.69712508922427 39.783391526762365)
1,POINT (-85.71855254350558 39.79273111527034)
2,POINT (-85.7821301374037 39.88823461264548)
3,POINT (-85.77424500016573 39.761489816232974)
4,POINT (-85.94494570688728 39.82263294653841)
0,POINT (-85.75787919683928 39.87738467087421)
1,POINT (-85.77569115325429 39.91417169795413)
2,POINT (-85.6365432172978 39.91770413619971)
3,POINT (-85.89964818777842 39.91261025432972)
4,POINT (-85.95042317139905 39.78647864746187)
0,POINT (-85.85725316726526 39.753486033103826)
0,POINT (-85.78957769297986 39.853977057031145)
1,POINT (-85.88344269626033 39.822820153491605)
2,POINT (-85.85193316921068 39.93268612469929)
3,POINT (-85.70290750516037 39.91852727717564)
0,POINT (-86.01012161815888 38.09952910652419)
1,POINT (-86.08468352779053 38.41860997247699)
0,POINT (-86.1117102013222 38.15884077125899)
1,POINT (-86.0366087474443 37.96688589796243)
0,POINT (-86.65492388316517 39.750869501382006)
0,POINT (-86.54299792420176 39.9180780824306)
1,POINT (-86.50501118429526 39.884569377977634)
0,POINT (-86.38413269904025 39.84415145912077)
0,POINT (-86.38778656612898 39.69596730374151)
1,POINT (-86.33221771662929 39.794093193499805)
0,POINT (-86.53582552265374 39.838063740159804)
1,POINT (-86.58326267932934 39.798599240762314)
0,POINT (-86.5486124750905 39.82664933473849)
0,POINT (-86.45722996832878 39.63697094721161)
0,POINT (-86.6467607600363 39.795032827653735)
0,POINT (-86.45762540635236 39.826587452608884)
1,POINT (-86.33655772932735 39.672481944855356)
0,POINT (-86.368968808335 39.745451325430686)
1,POINT (-86.63087087029129 39.69464529533735)
0,POINT (-86.6711433795009 39.85359448626842)
1,POINT (-86.4549221304652 39.79087641521388)
0,POINT (-86.41003338174959 39.902024970338566)
0,POINT (-86.43510545030905 39.86587755409868)
0,POINT (-86.36451408137485 39.8288784648198)
0,POINT (-86.61889529180215 39.81326522949824)
1,POINT (-86.61415471073525 39.73542809391486)
0,POINT (-86.43452297409648 39.77806712518564)
1,POINT (-86.62156211595133 39.613197465415254)
0,POINT (-86.59736712947725 39.68220878410932)
1,POINT (-86.4112465772347 39.649611735710344)
0,POINT (-86.52774331940425 39.71424718049274)
1,POINT (-86.6851276885594 39.69334995472283)
0,POINT (-86.68453793172127 39.84255775763948)
0,POINT (-86.62935461550916 39.8194011529685)
1,POINT (-86.46834184107882 39.6360915737544)
0,POINT (-86.6765183658545 39.70555618500457)
0,POINT (-86.64508343235596 39.809045568506676)
0,POINT (-86.37049731759511 39.672235322686795)
0,POINT (-86.5079893305448 39.76975551800483)
0,POINT (-86.35865020218802 39.80251014874447)
0,POINT (-86.59332694156724 39.784400122013594)
0,POINT (-86.5377063971285 39.88037837485244)
1,POINT (-86.44705394945 39.912652430887526)
0,POINT (-86.32901456696469 39.6777013693075)
0,POINT (-86.50354547743078 39.77519824903261)
0,POINT (-86.61523337338332 39.72702303851663)
0,POINT (-86.52660535039841 39.922136558632204)
0,POINT (-86.60711451846679 39.81803889449287)
1,POINT (-86.5822516400879 39.60793765947656)
0,POINT (-86.43643567331986 39.77072838324786)
1,POINT (-86.35339686245167 39.83549455831224)
0,POINT (-86.66374277574386 39.70361277434385)
1,POINT (-86.59387449679566 39.87709513869417)
0,POINT (-86.63011340389174 39.7726363959891)
1,POINT (-86.5388944888226 39.77232060734172)
0,POINT (-86.42061473890581 39.75516940812448)
0,POINT (-86.61637056002589 39.6405282475817)
0,POINT (-86.68646983234405 39.72104852479897)
1,POINT (-86.46112697013635 39.90418211378293)
0,POINT (-86.46338192872712 39.71961269743584)
1,POINT (-86.48330179205794 39.76463689307168)
0,POINT (-86.59432369473826 39.6166271578347)
0,POINT (-86.5308235287264 39.677733153558655)
1,POINT (-86.46280697701442 39.83531317243937)
0,POINT (-86.49769411942269 39.72329274387776)
0,POINT (-86.53704833480685 39.91321700263165)
0,POINT (-86.61866836637645 39.82722656001661)
1,POINT (-86.63062754791385 39.721030076454525)
0,POINT (-86.41288921296352 39.69897960353282)
1,POINT (-86.63339291126368 39.90789590644758)
0,POINT (-86.55313360269632 39.922367677801496)
1,POINT (-86.45644092253885 39.64081711635438)
0,POINT (-86.5229530054283 39.649979730483416)
1,POINT (-86.580175893982 39.80762179757532)
0,POINT (-86.4814573012361 39.778527583322116)
1,POINT (-86.61097415456818 39.68340360874619)
0,POINT (-86.40331273092187 39.86290802827425)
0,POINT (-86.49188512340896 39.83082303596782)
0,POINT (-86.47155502203665 39.876215021325805)
0,POINT (-86.49493349382907 39.61055702774661)
1,POINT (-86.45415014164558 39.891683248363265)
0,POINT (-86.6291611800958 39.73109694155507)
1,POINT (-86.54957358916565 39.684686311732406)
0,POINT (-86.4812961466189 39.85596973306814)
0,POINT (-86.54881726778524 39.80018653977828)
0,POINT (-86.56200805965648 39.60214580211294)
1,POINT (-86.46065407221509 39.73207200527859)
0,POINT (-86.38039262954754 39.63769641319511)
0,POINT (-86.44511836600502 39.649455648887596)
0,POINT (-86.64160739509988 39.855623851190245)
0,POINT (-86.39286014925044 39.80874030753042)
1,POINT (-86.65850500340699 39.74420180760618)
0,POINT (-85.25552559604303 40.07228997706046)
0,POINT (-85.2838790366864 39.84034638357669)
0,POINT (-85.34124160265962 39.9646900928068)
0,POINT (-85.47814038650503 39.879203680420964)
0,POINT (-85.56596651442396 40.07609227394815)
1,POINT (-85.28618554407632 39.86094623860402)
0,POINT (-85.41526007593134 39.92988119211717)
1,POINT (-85.35006679056886 39.822739987336995)
0,POINT (-85.33432948719626 40.0250047118349)
0,POINT (-85.3910624000968 40.00113414396778)
0,POINT (-85.36402919653733 39.979528169439675)
0,POINT (-85.30504931096502 40.017100184399276)
1,POINT (-85.30551917904828 39.89747184817984)
0,POINT (-85.28101385745333 39.86787287364253)
0,POINT (-86.1602838314896 40.48110409176768)
1,POINT (-86.33897281363278 40.54122216740958)
0,POINT (-86.1389004009092 40.48803478288397)
1,POINT (-85.89311931246972 40.54721916684285)
0,POINT (-86.12625183262465 40.42540020160964)
1,POINT (-86.1652383268064 40.47153254885495)
0,POINT (-85.97260237328179 40.45890900737022)
1,POINT (-86.06861263050718 40.45091283235413)
0,POINT (-86.22173335709162 40.49492554943159)
1,POINT (-86.07957027165708 40.413754244694296)
0,POINT (-86.30974479784152 40.441998540741324)
0,POINT (-86.29443921044091 40.429240656507254)
1,POINT (-86.18485403902577 40.46609130339052)
0,POINT (-85.8875133233889 40.433244941954904)
1,POINT (-86.29267140438478 40.56003726544815)
0,POINT (-86.23032616265338 40.5220640895797)
0,POINT (-86.2348452813577 40.51699613397922)
1,POINT (-86.33095929148809 40.55117255497896)
0,POINT (-86.12392961614079 40.52550871043364)
1,POINT (-85.94183564136934 40.53084709404608)
0,POINT (-86.2846774471077 40.480037244700384)
0,POINT (-86.3545387181815 40.497418981209776)
1,POINT (-86.24790344811859 40.55764672629599)
0,POINT (-85.92226303563454 40.5185568675123)
1,POINT (-86.33194027808995 40.48259114121413)
0,POINT (-86.37156165924502 40.46369852691697)
1,POINT (-86.1366788901946 40.447387720852426)
0,POINT (-86.21380396500221 40.498977792907546)
1,POINT (-85.94999796244004 40.47602239248624)
0,POINT (-86.16385488971628 40.46950205898571)
0,POINT (-86.3092465147473 40.46211554272071)
1,POINT (-86.07743369058008 40.45898015004103)
0,POINT (-86.32779437186771 40.51778752464013)
0,POINT (-86.2080204931622 40.4964493900788)
0,POINT (-86.34668275458536 40.462424486472095)
0,POINT (-86.26750074372026 40.5450314000233)
1,POINT (-86.29482205331759 40.55836088151978)
0,POINT (-86.36575174630127 40.454838545743)
0,POINT (-86.02946772785245 40.54374795098067)
0,POINT (-86.09419917499278 40.53967388153858)
1,POINT (-86.2713948501126 40.41357670175817)
0,POINT (-86.11585151940487 40.44412360359487)
1,POINT (-86.02432191438167 40.445085038630744)
0,POINT (-86.1871844942727 40.55935622768899)
0,POINT (-85.91800115515652 40.501609708377785)
0,POINT (-86.09615964644173 40.4636181753012)
1,POINT (-86.02296214051566 40.44927574464306)
0,POINT (-86.29041293331046 40.478668733596734)
1,POINT (-85.92467889936282 40.53504971238867)
0,POINT (-86.34796367159532 40.44134440125002)
0,POINT (-86.0435955768833 40.53643873893178)
0,POINT (-86.36119310030656 40.51179312915391)
0,POINT (-86.26019462769112 40.557947532010886)
1,POINT (-85.95818298368626 40.53973230190952)
0,POINT (-86.36196838557083 40.53633371312294)
0,POINT (-85.87896484673776 40.47285371601359)
1,POINT (-86.27366910923287 40.37830717811514)
0,POINT (-85.87847440288502 40.552081822307045)
1,POINT (-86.1533267061572 40.538531733442674)
0,POINT (-86.20380531483661 40.41083280053504)
1,POINT (-86.19159082685944 40.517338980940806)
0,POINT (-86.00228784897187 40.44768658503112)
0,POINT (-86.12953648322086 40.5202153720386)
1,POINT (-86.27160797328864 40.41018172558062)
0,POINT (-86.11855099283004 40.42413749955772)
1,POINT (-85.89894320829151 40.4805769419836)
0,POINT (-86.2638396470768 40.4249287675676)
0,POINT (-86.13789924890835 40.41260767412343)
1,POINT (-86.08108179086136 40.55278689665979)
0,POINT (-85.9289482246732 40.484227739163565)
0,POINT (-85.98573378093936 40.42562495309036)
0,POINT (-86.3501903229572 40.50970794655582)
1,POINT (-86.0111723570177 40.490225674999365)
0,POINT (-85.95084805328929 40.532110042363925)
1,POINT (-85.90013660541338 40.43510773471035)
0,POINT (-86.25939543747722 40.42587052203501)
0,POINT (-86.15031443238172 40.50898479860037)
0,POINT (-86.00973153555918 40.49529291437294)
0,POINT (-85.99817640063645 40.46843618162629)
0,POINT (-86.10080167050668 40.52524253723676)
0,POINT (-86.13858949072562 40.43486691966508)
1,POINT (-85.90632950856201 40.43710754668006)
0,POINT (-86.17854633767419 40.45197549730526)
0,POINT (-86.32111100933702 40.55758789611113)
0,POINT (-86.33474545465023 40.44743176284308)
0,POINT (-85.90764826774159 40.4945415160991)
0,POINT (-86.00418159227017 40.55660031520936)
0,POINT (-85.94198463563497 40.558842555768074)
1,POINT (-86.04292200547452 40.4215787638612)
0,POINT (-86.24553044451505 40.440824830763276)
1,POINT (-86.11427611700707 40.44569763822832)
0,POINT (-85.55021710538996 40.988563955427026)
1,POINT (-85.6120000615616 40.75875158852273)
0,POINT (-85.6324950825751 40.78155890695637)
1,POINT (-85.5991867967953 40.92056749631287)
0,POINT (-85.39906770890954 40.889440695789965)
1,POINT (-85.4318209811592 40.7140246339585)
2,POINT (-85.37676495861464 40.67925605739028)
0,POINT (-85.56047322032423 40.692420785616775)
1,POINT (-85.59600920168958 40.952823034240325)
0,POINT (-85.4402872392529 40.84962497837395)
0,POINT (-85.58415407522328 40.870742337791626)
1,POINT (-85.42407185998152 40.7065072471657)
0,POINT (-85.42348810355497 40.85523020887058)
0,POINT (-85.54436893329428 40.88709452193848)
1,POINT (-85.63278641036118 40.76966701837203)
2,POINT (-85.47043853461106 40.95108459138691)
0,POINT (-85.40826636051895 40.699276862809924)
1,POINT (-85.48790033464392 40.86979309264792)
0,POINT (-85.52318342398699 40.87267041627286)
1,POINT (-85.4067688582593 40.654198740842524)
2,POINT (-85.50528241458912 41.00004318940118)
0,POINT (-85.53876972434914 40.71842170563246)
1,POINT (-85.45666475586175 40.96150722468722)
0,POINT (-85.47245628245116 40.759060770173804)
1,POINT (-85.5410577724368 40.81653585819943)
2,POINT (-85.55614734716539 40.97692108159574)
0,POINT (-85.86988749484672 38.736360099434194)
1,POINT (-85.82106575123228 39.014378839019166)
0,POINT (-85.98688399221328 38.99872033233419)
1,POINT (-86.01217808376677 38.91388201212205)
2,POINT (-86.25337378422948 38.8725714249708)
0,POINT (-86.11222132171731 38.88467266077992)
1,POINT (-86.11012326998377 38.81764916044414)
0,POINT (-86.22017700371754 38.8656261678506)
1,POINT (-86.06115981585081 38.793311949834056)
0,POINT (-86.04124489993774 38.834982217872074)
1,POINT (-86.09848522019108 38.96858803003452)
2,POINT (-86.1043036971655 39.000117072306864)
3,POINT (-86.19291177559704 39.01000044395245)
0,POINT (-86.11385983721586 38.85677331125348)
1,POINT (-86.15042447077268 38.979568667030044)
0,POINT (-85.89079610239777 38.79043665313791)
1,POINT (-85.79999324393216 38.82573416518665)
0,POINT (-86.05167575229191 39.02565498866845)
1,POINT (-86.27178864609367 38.939230427729974)
2,POINT (-85.99934621930409 38.80927641817881)
3,POINT (-85.96871925986737 38.95945438719973)
0,POINT (-85.85223769175401 38.88885692471756)
1,POINT (-86.08442115834599 39.014998183082746)
0,POINT (-86.08654067685447 38.80203761749666)
0,POINT (-85.89378152708927 38.84036558483682)
1,POINT (-86.11529146807982 38.91573187934689)
0,POINT (-86.04532479534072 38.993071245204504)
1,POINT (-85.84007889749134 38.81372405670193)
2,POINT (-86.09072175068526 38.922979699584516)
3,POINT (-86.24212026568283 39.03189482454684)
0,POINT (-86.12727061290455 38.80097853883263)
1,POINT (-86.13595057500858 38.91794908608147)
2,POINT (-86.14292509390255 38.82054623943491)
0,POINT (-86.19417127897925 39.046808379180305)
0,POINT (-85.86317400502388 38.731004318744496)
1,POINT (-85.91603267247505 38.88374266992962)
2,POINT (-85.94060719333997 38.921936125475554)
3,POINT (-85.99695316328273 38.79761573937039)
0,POINT (-86.01024190602224 38.96351653415262)
1,POINT (-85.9966297236482 38.95387033389905)
0,POINT (-86.25152453603482 38.99298373270809)
1,POINT (-85.84112257655329 39.04262617547913)
2,POINT (-85.80827004154806 38.85519693388248)
3,POINT (-85.84771717525442 39.0030815136191)
0,POINT (-86.18986836785663 38.89994137206765)
0,POINT (-86.2664127142734 38.903427540799484)
1,POINT (-86.1911488347182 38.843188268892504)
0,POINT (-86.23725628344225 38.80406970959977)
1,POINT (-85.94752661230791 38.88012908125982)
0,POINT (-85.83001700758791 38.91248181283538)
1,POINT (-86.02563151663246 38.93561172251818)
2,POINT (-86.22786545672314 38.831645438647236)
3,POINT (-86.08437313963685 38.985772035800466)
0,POINT (-86.24441746167206 38.788877020477564)
1,POINT (-86.14729362051142 38.856705633801255)
2,POINT (-85.80253397931452 38.984042127952094)
3,POINT (-85.86273874609395 38.93155426034338)
0,POINT (-86.04948082718352 39.03460611724782)
0,POINT (-86.06464619407028 38.96340959495559)
1,POINT (-85.91751906730649 38.89513850604912)
2,POINT (-86.05249537880486 38.80011204173755)
3,POINT (-85.92912091489168 38.93145430436602)
0,POINT (-86.13868621007029 38.796234785755594)
1,POINT (-86.28513256959283 39.03955256443288)
2,POINT (-85.80885310454751 38.926408802612244)
0,POINT (-85.90381495873285 38.778746629124306)
1,POINT (-86.02868643299979 38.77733489822446)
2,POINT (-86.0130330293782 38.814139741102075)
3,POINT (-86.04190434298376 38.89642249028125)
0,POINT (-85.9515596069816 38.88385736521621)
1,POINT (-86.04049480110413 38.87390918039091)
2,POINT (-85.89260020103039 38.79167876161234)
0,POINT (-86.04732166651199 38.812828556275036)
1,POINT (-86.23939297320672 38.837017114860735)
2,POINT (-85.99535097591217 38.79117866791064)
0,POINT (-85.83345548242471 39.01095117038049)
1,POINT (-86.09935011336714 38.99887507610084)
2,POINT (-86.05504663839467 38.95412989028567)
3,POINT (-86.246730025288 38.826697179501515)
0,POINT (-86.13022615786579 38.846914334019075)
0,POINT (-85.9526586458167 39.0221232475204)
0,POINT (-86.31411425770675 39.030798298060915)
1,POINT (-85.9931590443943 38.945656739712874)
0,POINT (-86.27813371271428 38.99197170721317)
0,POINT (-86.01053374598676 38.867204567257)
1,POINT (-85.7980779942317 38.87488502722531)
0,POINT (-86.09740772597581 39.01792777218417)
1,POINT (-85.86648591037076 38.77398041511898)
0,POINT (-86.25885399489763 38.868847086243335)
0,POINT (-86.27801568648775 38.96345662188483)
1,POINT (-85.88113955307311 38.98069500167515)
2,POINT (-86.21347910143268 38.95974287135361)
3,POINT (-85.81337623012618 38.89932019842867)
0,POINT (-86.0401060666806 38.89181962747905)
1,POINT (-86.19228282162352 38.949036761310744)
2,POINT (-86.12156802023537 38.94577926569816)
0,POINT (-85.94798967326808 38.982072718235635)
1,POINT (-86.18586478417886 38.900996602501266)
2,POINT (-86.11102806693536 38.95234123056808)
3,POINT (-86.28892252415064 39.00019675870734)
0,POINT (-85.93395056482785 38.9170978263169)
0,POINT (-86.20072418266668 39.00963359188594)
0,POINT (-85.92269294538247 38.89881886845185)
1,POINT (-86.13764798549603 38.94661443666401)
2,POINT (-85.98463858766173 39.003599078842946)
0,POINT (-86.02010710816437 39.01998496969437)
1,POINT (-86.15284802354334 38.999997780660735)
0,POINT (-86.07660981884673 38.83578875725611)
1,POINT (-86.16760173285505 38.79421376947426)
0,POINT (-87.05618396020685 41.14523847794515)
0,POINT (-87.0670095097546 40.91500280116056)
1,POINT (-87.195909670425 41.202508367373795)
0,POINT (-87.09967193648875 40.778419802695424)
0,POINT (-87.25252894764736 40.99145169895322)
0,POINT (-87.00791448435157 40.97668553721905)
0,POINT (-87.143389598428 41.10212935580909)
0,POINT (-87.18661364823309 41.16134526861418)
0,POINT (-85.1558063592947 40.45185345817754)
1,POINT (-85.12982198679319 40.32850493370236)
2,POINT (-84.93933497046508 40.4977563971128)
3,POINT (-84.83307585551637 40.350439728520584)
0,POINT (-85.13374727672617 40.52622793414506)
0,POINT (-85.09352145088691 40.50637594981601)
1,POINT (-84.82961519965778 40.53676625196139)
2,POINT (-84.99036123713422 40.50255578822638)
3,POINT (-85.0055016570064 40.38751987955638)
0,POINT (-84.82009553040932 40.540516056825524)
0,POINT (-84.85438726878289 40.33927908486746)
1,POINT (-85.0632834103886 40.44186707333657)
0,POINT (-85.11703201939181 40.4041328847177)
0,POINT (-84.99312104980997 40.31749513154578)
1,POINT (-84.98409829754216 40.475207876421265)
2,POINT (-84.91833417098015 40.32657877411718)
0,POINT (-85.08474164673522 40.516801114583515)
1,POINT (-85.02243130799674 40.333881255467865)
2,POINT (-85.05892099183151 40.44246883631508)
0,POINT (-85.58831525843625 39.11909412595354)
1,POINT (-85.70193809270626 38.98897080423996)
2,POINT (-85.6231062200533 39.02771076853772)
0,POINT (-85.69361553463878 39.1274196803329)
1,POINT (-85.60016006657511 38.93485280471999)
0,POINT (-85.70737016078704 38.92004674563052)
1,POINT (-85.61618273362913 39.02231132387757)
2,POINT (-85.76782381733024 38.88384747079916)
3,POINT (-85.52962697724202 38.91626211348161)
0,POINT (-85.59917518591084 39.02881448810404)
1,POINT (-85.62234773834368 38.958712305683974)
2,POINT (-85.65176214376132 38.98608780510537)
0,POINT (-85.69124954418913 38.87410067063595)
1,POINT (-85.47343334266911 38.9690392803411)
2,POINT (-85.45840226309619 39.176877502109775)
0,POINT (-85.70693705414656 38.984965582998505)
0,POINT (-85.68428295058149 38.87489095887275)
1,POINT (-85.59164248506066 39.090559062239294)
2,POINT (-85.67518173982086 38.90346295680669)
0,POINT (-85.54751895669442 38.97014384745415)
0,POINT (-85.47758965796717 39.04967950652183)
1,POINT (-85.76801823016903 38.873229642205295)
2,POINT (-85.79468042118498 38.97748518862734)
0,POINT (-85.53779538351267 39.01803402631624)
1,POINT (-85.59983132812646 39.131748214620195)
0,POINT (-85.47868264387861 38.969869987665355)
0,POINT (-85.65415811562445 39.028311701418836)
1,POINT (-85.4623261318197 39.00743616237442)
0,POINT (-85.61752151036623 38.82828825103395)
1,POINT (-85.74487882432099 39.093444159429374)
2,POINT (-85.64085052762312 38.86621004257946)
3,POINT (-85.66350433633 39.09910225570811)
0,POINT (-85.66560651433218 38.946637274135355)
1,POINT (-85.56262875776726 39.05312211638619)
2,POINT (-85.47145239545223 39.08130860599119)
0,POINT (-85.78950533733102 38.845664061888776)
1,POINT (-85.45774482584028 39.054237701448315)
2,POINT (-85.69038591043434 39.09475252355184)
0,POINT (-85.73168669733467 38.91631626005859)
0,POINT (-85.61989330944799 38.99173672022748)
1,POINT (-85.7455351100306 39.081814220385695)
2,POINT (-85.60865418562616 39.09881660217018)
0,POINT (-85.54704368917466 38.99377409138806)
1,POINT (-85.75509934669853 38.823424606824545)
0,POINT (-85.66474506769636 38.83913523193096)
0,POINT (-85.57322013402258 39.083489882473394)
1,POINT (-85.7323451732803 38.84988722445822)
0,POINT (-85.51410659529853 39.002550058909314)
0,POINT (-85.67909359858285 38.84021160042042)
1,POINT (-85.4515091187795 39.00131050491641)
0,POINT (-85.78543590698851 39.00085501253952)
1,POINT (-85.71999553886347 38.909643516824794)
2,POINT (-85.74709597889714 38.917747204952235)
3,POINT (-85.50772038162042 39.090173073146474)
0,POINT (-85.77587712604739 39.00744183123274)
0,POINT (-85.50158558711023 38.970849914537695)
0,POINT (-85.76625209001303 38.886006358476735)
1,POINT (-85.70553447401596 38.97188312887446)
2,POINT (-85.70868107309522 38.9453626790875)
3,POINT (-85.48001676221608 39.075558829196304)
0,POINT (-85.76434371544613 38.995875802313094)
1,POINT (-85.66562968344532 39.01782457809044)
2,POINT (-85.55884053669979 38.884525340905554)
0,POINT (-85.68858302736913 39.075624398751096)
1,POINT (-85.55556786392891 38.96159564063355)
2,POINT (-85.68625411511672 38.96223177272927)
3,POINT (-85.61210569807612 38.89150124309283)
0,POINT (-85.79152079703722 38.898522254041104)
1,POINT (-85.59518193231044 38.93266500413033)
0,POINT (-85.47272512636889 39.10435849960092)
1,POINT (-85.77424140980568 39.09336246407455)
2,POINT (-85.74987890958403 38.968853445300496)
3,POINT (-85.64405070807433 38.98115341165646)
0,POINT (-85.63985454010947 38.969408816513614)
1,POINT (-85.54128591592134 39.11895601892952)
